name,date,sales ,sales_share,boxoffice_num,num_of_screen,num_of_screenings,rep_nation,nation,distributor,director1,director2,director3,director4,director5,director6,director7,actor1,actor2,actor3,actor4,actor5,actor6,actor7,actor8,actor9,actor10,actor11,actor12,actor13,actor14,actor15,actor16,director8,director9,actor17,actor18,actor19,actor20,actor21,actor22,actor23,actor24,actor25,actor26,actor27,actor28,actor29,actor30,actor31,actor32,actor33,actor34,actor35,actor36,actor37,actor38,actor39,actor40,actor41,actor42,actor43,actor44,actor45,actor46
조선명탐정: 흡혈괴마의 비밀,2018.2.8,"19,822,789,764",1.1%,"2,444,136","1,249","74,953",한국,한국,(주)쇼박스, 김석윤,,,,,,, 김명민, 오달수, 김지원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신비한 동물들과 그린델왈드의 범죄,2018.11.14,"20,816,583,118",1.1%,"2,414,062","1,601","76,846",미국,미국,워너브러더스 코리아(주), 데이빗 예이츠,,,,,,, 에디 레드메인, 조니 뎁, 캐서린 워터스턴, 주드 로, 에즈라 밀러,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
메이즈 러너: 데스 큐어,2018.1.17,"18,902,873,104",1.0%,"2,299,732","1,090","58,918",미국,미국,이십세기폭스코리아(주), 웨스 볼,,,,,,, 딜런 오브라이언, 토마스 생스터, 카야 스코델라리오, 이기홍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
맘마미아!2,2018.8.8,"19,607,520,003",1.1%,"2,293,884",750,"59,060",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 올 파커,,,,,,, 아만다 사이프리드, 릴리 제임스, 메릴 스트립, 피어스 브로스넌, 제레미 어바인, 콜린 퍼스, 휴 스키너, 스텔란 스카스가드, 조쉬 딜란,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
레디 플레이어 원,2018.3.28,"19,933,108,071",1.1%,"2,254,430","1,079","77,173",미국,미국,워너브러더스 코리아(주),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
명당,2018.9.19,"17,900,775,524",1.0%,"2,087,474","1,117","58,450",한국,한국,메가박스중앙(주)플러스엠, 박희곤,,,,,,, 조승우, 지성, 김성균, 문채원, 유재명, 박충선, 백윤식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
협상,2018.9.19,"17,032,133,166",0.9%,"1,967,721",919,"57,926",한국,한국,(주)씨제이이엔엠, 이종석,,,,,,, 손예진, 현빈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마약왕,2018.12.19,"15,784,724,552",0.9%,"1,813,594","1,297","41,658",한국,한국,(주)쇼박스, 우민호,,,,,,, 송강호, 조정석, 배두나,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
쥬만지: 새로운 세계,2018.1.3,"13,814,824,864",0.8%,"1,708,672",791,"41,806",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점, 제이크 캐스단,,,,,,, 드웨인 존슨, 잭 블랙, 케빈 하트, 카렌 길런,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창궐,2018.10.25,"13,275,772,490",0.7%,"1,599,290","1,351","60,687",한국,한국,(주)넥스트엔터테인먼트월드(NEW), 김성훈,,,,,,, 현빈, 장동건,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성난황소,2018.11.22,"13,236,490,737",0.7%,"1,593,386","1,010","48,932",한국,한국,(주)쇼박스, 마틴 스콜세지,,,,,,, 로버트 드 니로,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
도어락,2018.12.5,"12,792,097,886",0.7%,"1,559,616",954,"53,732",한국,한국,메가박스중앙(주)플러스엠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
리틀 포레스트,2018.2.28,"11,929,202,185",0.7%,"1,506,269",884,"68,414",한국,한국,메가박스중앙(주)플러스엠, 임순례,,,,,,, 김태리, 류준열, 문소리, 진기주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
골든슬럼버,2018.2.14,"11,412,768,798",0.6%,"1,387,508",833,"42,991",한국,한국,(주)씨제이이엔엠, 노동석,,,,,,, 강동원, 김의성, 한효주, 김성균, 김대명,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
램페이지,2018.4.12,"11,951,980,109",0.7%,"1,385,511",909,"55,295",미국,미국,워너브러더스 코리아(주), 브래드 페이튼,,,,,,, 드웨인 존슨, 제프리 딘 모건, 나오미 해리스, 말린 애커맨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
궁합,2018.2.28,"10,478,875,438",0.6%,"1,340,117",966,"52,427",한국,한국,(주)씨제이이엔엠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오션스8,2018.6.13,"11,700,157,266",0.6%,"1,335,829",837,"55,372",미국,미국,워너브러더스 코리아(주), 게리 로스,,,,,,, 산드라 블록, 케이트 블란쳇, 앤 해서웨이, 민디 캘링, 사라 폴슨, 아콰피나, 리아나, 헬레나 본햄 카터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사라진 밤,2018.3.7,"10,697,981,316",0.6%,"1,315,726",925,"60,087",한국,한국,(주)키다리이엔티, 차성덕,,,,,,, 차성덕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
스윙키즈,2018.12.19,"10,308,565,602",0.6%,"1,258,811",984,"32,237",한국,한국,(주)넥스트엔터테인먼트월드(NEW), 토머스 카터,,,,,,, 로버트 숀 레오나드, 크리스찬 베일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
바람 바람 바람,2018.4.5,"9,784,385,375",0.5%,"1,194,229",985,"57,939",한국,한국,(주)넥스트엔터테인먼트월드(NEW), 이병헌,,,,,,, 이성민, 신하균, 송지효, 이엘,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PMC: 더 벙커,2018.12.26,"9,704,247,367",0.5%,"1,179,031","1,081","26,690",한국,한국,(주)씨제이이엔엠, 김병우,,,,,,, 하정우, 이선균,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
범블비,2018.12.25,"9,756,083,752",0.5%,"1,167,150","1,016","26,260",미국,미국,롯데컬처웍스(주)롯데엔터테인먼트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
챔피언,2018.5.1,"9,471,138,230",0.5%,"1,128,774",874,"47,320",한국,한국,워너브러더스 코리아(주),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
퍼시픽 림: 업라이징,2018.3.21,"8,962,712,795",0.5%,"1,077,235","1,145","49,600",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 스티븐 S. 드나이트,,,,,,, 존 보예가, 스콧 이스트우드,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
몬스터 호텔 3,2018.8.8,"7,934,082,800",0.4%,"1,072,220",715,"21,247",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점, 젠디 타타코브스키,,,,,,, 아담 샌들러, 셀레나 고메즈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
더 넌,2018.9.19,"8,777,844,795",0.5%,"1,011,580",824,"32,736",미국,미국,워너브러더스 코리아(주), 기욤 니클루,,,,,,, 폴린 에티엔, 이자벨 위페르, 마르티나 게덱, 루이즈 보르고앙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
스카이스크래퍼,2018.7.11,"8,612,111,718",0.5%,"1,002,858",831,"40,862",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 로슨 마샬 터버,,,,,,, 드웨인 존슨, 니브 캠벨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
염력,2018.1.31,"7,484,644,112",0.4%,"990,104","1,099","45,623",한국,한국,(주)넥스트엔터테인먼트월드(NEW), 연상호,,,,,,, 류승룡, 심은경,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
월요일이 사라졌다,2018.2.22,"7,489,885,100",0.4%,"903,175",381,"24,247",영국,"영국,미국,프랑스,벨기에",(주)스마일이엔티, 토미 위르콜라,,,,,,, 누미 라파스, 윌렘 대포, 글렌 클로즈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
인랑,2018.7.25,"7,006,622,673",0.4%,"898,945","1,085","25,427",한국,한국,워너브러더스 코리아(주), 김지운,,,,,,, 강동원, 한효주, 정우성, 김무열,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
극장판 헬로카봇 : 백악기 시대,2018.8.1,"6,589,532,500",0.4%,"879,449",758,"16,173",한국,한국,(주)넥스트엔터테인먼트월드(NEW), 최신규, 김진철,,,,,, 이지현, 김용준, 양정화,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
레슬러,2018.5.9,"6,481,379,657",0.4%,"771,141",957,"43,079",한국,한국,롯데쇼핑㈜롯데엔터테인먼트, 김대웅,,,,,,, 유해진, 김민재, 이성경,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상류사회,2018.8.29,"6,313,416,163",0.3%,"768,442",867,"41,725",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
물괴,2018.9.12,"6,106,452,954",0.3%,"723,622","1,183","46,022",한국,한국,"롯데컬처웍스(주)롯데엔터테인먼트,(주)키다리이엔티", 허종호,,,,,,, 김명민, 김인권, 혜리, 최우식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
미쓰백,2018.10.11,"6,040,344,066",0.3%,"722,182",671,"41,961",한국,한국,(주)리틀빅픽쳐스, 이지원,,,,,,, 한지민, 김시아, 이희준,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신비아파트: 금빛 도깨비와 비밀의 동굴,2018.7.25,"5,001,247,250",0.3%,"678,091",762,"16,175",한국,한국,(주)씨제이이엔엠, 김병갑,,,,,,, 조현정, 김영은, 김채하, 양정화,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
퍼스트맨,2018.10.18,"6,094,765,639",0.3%,"665,364","1,190","40,580",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 데이미언 셔젤,,,,,,, 라이언 고슬링, 클레어 포이,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
스파이더맨: 뉴 유니버스,2018.12.12,"5,305,289,076",0.3%,"639,934",722,"22,113",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점, 밥 퍼시케티, 피터 램지, 로드니 로스맨,,,,, 샤메익 무어, 헤일리 스테인펠드, 니콜라스 케이지, 제이크 존슨, 리브 슈라이버, 마허샬라 알리, 브라이언 타이리 헨리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
위대한 쇼맨,2017.12.20,"4,856,890,300",0.3%,"588,434",444,"16,054",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)", 마이클 그레이시,,,,,,, 휴 잭맨, 잭 에프론, 미셸 윌리엄스, 레베카 퍼거슨, 젠데이아 콜먼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
인시디어스4: 라스트 키,2018.1.31,"4,301,309,864",0.2%,"554,521",769,"23,869",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점, 애덤 로비텔,,,,,,, 린 샤예, 스펜서 로크, 조쉬 스튜어트, 하비에르 보텟,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"그날, 바다",2018.4.12,"4,446,000,528",0.2%,"540,631",643,"30,376",한국,한국,(주)엣나인필름, 김지영,,,,,,, 정우성,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
툼레이더,2018.3.8,"4,500,905,762",0.2%,"540,410",806,"31,823",미국,미국,워너브러더스 코리아(주), 로아 우타우,,,,,,, 알리시아 비칸데르,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
페르디난드,2018.1.3,"3,854,216,500",0.2%,"533,776",698,"13,789",미국,미국,이십세기폭스코리아(주), 카를로스 살다나,,,,,,, 존 시나,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
버닝,2018.5.17,"4,716,771,098",0.3%,"528,435",739,"26,514",한국,한국,CGV아트하우스, 이창동,,,,,,, 유아인, 스티븐 연, 전종서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7년의 밤,2018.3.28,"3,969,337,524",0.2%,"528,007",872,"26,804",한국,한국,(주)씨제이이엔엠, 추창민,,,,,,, 장동건, 류승룡, 송새벽, 고경표,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
메가로돈,2018.8.15,"4,516,122,497",0.2%,"527,962",601,"16,459",미국,미국,워너브러더스 코리아(주), 존 터틀타웁,,,,,,, 제이슨 스타뎀, 레인 윌슨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
콰이어트 플레이스,2018.4.12,"4,580,889,849",0.3%,"526,073",677,"30,760",미국,미국,롯데쇼핑㈜롯데엔터테인먼트, 존 크래신스키,,,,,,, 에밀리 블런트, 킬리언 머피, 밀리센트 시몬스, 노아 주프,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
호두까기 인형과 4개의 왕국,2018.12.6,"4,120,048,900",0.2%,"513,767",294,"14,238",미국,미국,월트디즈니컴퍼니코리아 유한책임회사, 라세 할스트롬, 조 존스톤,,,,,, 키이라 나이틀리, 매켄지 포이, 헬렌 미렌, 모건 프리먼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
셰이프 오브 워터: 사랑의 모양,2018.2.22,"4,218,077,050",0.2%,"507,102",404,"20,200",미국,미국,이십세기폭스코리아(주), 기예르모 델 토로,,,,,,, 샐리 호킨스, 마이클 섀넌, 리차드 젠킨스, 옥타비아 스펜서, 마이클 스털버그, 더그 존스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
곰돌이 푸 다시 만나 행복해,2018.10.3,"4,093,369,860",0.2%,"492,201",536,"21,601",미국,미국,월트디즈니컴퍼니코리아 유한책임회사, 마크 포스터,,,,,,, 이완 맥그리거, 헤일리 앳웰, 마크 게티스, 짐 커밍스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
변산,2018.7.4,"4,016,562,273",0.2%,"490,519",763,"27,504",한국,한국,메가박스중앙(주)플러스엠, 이준익,,,,,,, 박정민, 김고은,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
그린치,2018.12.19,"3,675,441,950",0.2%,"485,064",724,"10,998",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 스콧 모지어, 야로우 체니,,,,,, 베네딕트 컴버배치, 퍼렐 윌리엄스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
스타 이즈 본,2018.10.9,"4,197,504,400",0.2%,"483,852",555,"25,781",미국,미국,워너브러더스 코리아(주), 브래들리 쿠퍼,,,,,,, 브래들리 쿠퍼, 레이디 가가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동네사람들,2018.11.7,"3,818,515,112",0.2%,"461,693",731,"23,598",한국,한국,(주)리틀빅픽쳐스, 임진순,,,,,,, 마동석, 김새론,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
원더풀 고스트,2018.9.26,"3,720,931,600",0.2%,"450,374",351,"13,999",한국,한국,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온", 조원희,,,,,,, 마동석, 김영광, 이유영,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강철비,2017.12.14,"3,494,678,900",0.2%,"438,447",602,"13,598",한국,한국,(주)넥스트엔터테인먼트월드(NEW), 양우석,,,,,,, 정우성, 곽도원, 유연석, 앵거스 맥페이든,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥부: 글로 세상을 바꾼 자,2018.2.14,"3,381,050,200",0.2%,"416,303",627,"18,671",한국,한국,롯데쇼핑㈜롯데엔터테인먼트, 조근현,,,,,,, 정우, 김주혁, 정진영,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
명탐정 코난 : 제로의 집행인,2018.8.8,"3,014,920,361",0.2%,"396,230",542,"8,770",일본,일본,(주)씨제이이엔엠, 타치카와 유즈루,,,,,,, 타카야마 미나미, 야마자키 와카나, 코야마 리키야,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
피터 래빗,2018.5.16,"3,006,258,100",0.2%,"388,300",599,"12,522",미국,"미국,영국,호주",소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
점박이 한반도의 공룡2 : 새로운 낙원,2018.12.25,"2,941,541,400",0.2%,"375,312",672,"6,495",한국,한국,(주)넥스트엔터테인먼트월드(NEW), 한상호,,,,,,, 박희순, 라미란, 김성균,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
패딩턴 2,2018.2.8,"2,555,480,200",0.1%,"339,014",629,"14,455",프랑스,"프랑스,영국",(주)이수C&E, 폴 킹,,,,,,, 벤 위쇼, 휴 그랜트, 샐리 호킨스, 휴 보네빌, 사무엘 조슬린, 매들린 해리스, 줄리 월터스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
허스토리,2018.6.27,"2,521,025,949",0.1%,"336,822",696,"20,406",한국,한국,(주)넥스트엔터테인먼트월드(NEW), 민규동,,,,,,, 김희애, 김해숙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
미드나잇 선,2018.6.21,"2,679,300,500",0.1%,"326,086",472,"14,847",미국,미국,"(주)삼백상회,(주)키다리이엔티", 스콧 레베레히트,,,,,,, 잭 킬버그, 마야 패리쉬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
덕구,2018.4.5,"2,389,041,700",0.1%,"315,663",544,"19,006",한국,한국,메가박스중앙(주)플러스엠, 방수인,,,,,,, 이순재, 정지훈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
번 더 스테이지: 더 무비,2018.11.15,"2,671,391,900",0.1%,"315,010",243,"4,714",한국,한국,월트디즈니컴퍼니코리아 유한책임회사,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
트루스 오어 데어,2018.5.22,"2,647,330,400",0.1%,"310,956",530,"17,066",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 제프 와드로,,,,,,, 루시 헤일, 타일러 포시, 바이올렛 빈, 놀런 제라드 펑크,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
커뮤터,2018.1.24,"2,286,690,955",0.1%,"286,062",575,"16,145",영국,"영국,미국",메가박스중앙(주)플러스엠, 마이클 패터슨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
후드,2018.11.28,"2,203,434,149",0.1%,"284,601",628,"14,338",미국,미국,(주)이수C&E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,2018.12.19,"2,148,708,050",0.1%,"277,206",489,"5,329",일본,일본,(주)씨제이이엔엠, 타카하시 와타루,,,,,,, 박영남, 강희선, 김환진, 여민정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
해리포터와 마법사의 돌,2001.12.13,"2,349,913,000",0.1%,"267,950",33,"3,929",미국,미국,워너브러더스 코리아(주), 크리스 콜럼버스,,,,,,, 다니엘 래드클리프, 루퍼트 그린트, 엠마 왓슨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
모털 엔진,2018.12.5,"2,324,362,119",0.1%,"267,896",661,"15,454",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 크리스찬 리버스,,,,,,, 헤라 힐마, 로버트 시한, 휴고 위빙, 지혜, 스티븐 랭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
바울,2018.10.31,"2,100,137,400",0.1%,"267,785",227,"8,455",미국,미국,(재)CBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
나를 차버린 스파이,2018.8.22,"2,346,742,100",0.1%,"264,766",278,"12,987",미국,미국,(주)누리픽쳐스, 수잔나 포겔,,,,,,, 밀라 쿠니스, 케이트 맥키넌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
명탐정 코난:감벽의 관,2018.2.14,"1,803,389,439",0.1%,"242,603",487,"8,489",일본,일본,(주)씨제이이엔엠, 야마모토 야스이치로,,,,,,, 김선혜, 강수진, 이현진, 이용신, 이정구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아이 필 프리티,2018.6.6,"2,127,094,300",0.1%,"240,297",213,"11,900",미국,미국,(주)홈초이스, 에비 콘, 마크 실버스테인,,,,,, 에이미 슈머, 미셸 윌리엄스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
시카리오: 데이 오브 솔다도,2018.6.27,"1,938,637,400",0.1%,"229,542",261,"10,977",미국,미국,㈜코리아스크린, 스테파노 솔리마,,,,,,, 조슈 브롤린, 베니시오 델 토로, 이사벨라 모너,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
치즈인더트랩,2018.3.14,"1,890,873,700",0.1%,"229,005",364,"14,710",한국,한국,(주)리틀빅픽쳐스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 솔져스,2018.1.31,"1,833,626,400",0.1%,"223,740",211,"9,844",미국,미국,(주)제이앤씨미디어그룹, 니콜라이 퓰시,,,,,,, 크리스 헴스워스, 마이클 섀넌, 마이클 페나, 트래반트 로즈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1급기밀,2018.1.24,"1,720,083,300",0.1%,"217,803",512,"11,352",한국,한국,(주)리틀빅픽쳐스, 홍기선,,,,,,, 김상경, 김옥빈, 최무성,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50가지 그림자: 해방,2018.2.21,"1,866,384,500",0.1%,"217,785",213,"10,027",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 제임스 폴리,,,,,,, 다코타 존슨, 제이미 도넌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
속닥속닥,2018.7.13,"1,900,914,300",0.1%,"217,444",314,"8,246",한국,한국,(주)그노스, 최상훈,,,,,,, 소주연, 김민규,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
벽 속에 숨은 마법시계,2018.10.31,"1,654,715,300",0.1%,"215,029",609,"14,005",미국,미국,CGV아트하우스, 일라이 로스,,,,,,, 잭 블랙, 케이트 블란쳇, 오웬 바카로,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
허리케인 하이스트,2018.3.14,"1,730,262,848",0.1%,"214,949",544,"16,363",미국,미국,(주)넥스트엔터테인먼트월드(NEW), 롭 코헨,,,,,,, 토비 켑벨, 매기 그레이스, 라이언 콴튼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한 솔로: 스타워즈 스토리,2018.5.24,"1,964,276,778",0.1%,"213,980",569,"14,818",미국,미국,월트디즈니컴퍼니코리아 유한책임회사, 론 하워드,,,,,,, 엘든 이렌리치, 에밀리아 클라크, 우디 해럴슨, 폴 베타니,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
콜 미 바이 유어 네임,2018.3.22,"1,663,750,988",0.1%,"198,945",192,"10,218",이탈리아,"이탈리아,프랑스,브라질,미국","(주)디스테이션,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점", 루카 구아다니노,,,,,,, 티모시 샬라메, 아미 해머,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
나미야 잡화점의 기적,2018.2.28,"1,456,136,885",0.1%,"191,988",532,"10,240",일본,일본,(주)이수C&E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
업그레이드,2018.9.6,"1,743,757,800",0.1%,"190,387",220,"11,549",미국,미국,유니버설픽쳐스인터내셔널 코리아(유),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
런닝맨 : 풀룰루의 역습,2018.12.5,"1,420,218,750",0.1%,"186,912",511,"5,521",한국,한국,(주)넥스트엔터테인먼트월드(NEW), 윤준상,,,,,,, 김서영, 권창욱, 엄상현, 김연우, 강시현, 전태열,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
극장판 포켓몬스터DP - 디아루가 VS 펄기아 VS 다크라이,2018.6.6,"1,394,555,400",0.1%,"183,421",588,"6,839",일본,일본,(주)이수C&E, 유야마 쿠니히코,,,,,,, 임채헌, 이선호, 정미숙, 변영희, 오오타니 이쿠에, 마츠모토 리카, 우에다 유지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
극장판 도라에몽: 진구의 보물섬,2018.8.15,"1,375,508,400",0.1%,"183,220",463,"5,488",일본,일본,(주)이수C&E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
원더,2017.12.27,"1,378,217,489",0.1%,"181,938",183,"7,407",미국,미국,"CGV아트하우스,그린나래미디어(주)", 스티븐 크보스키,,,,,,, 제이콥 트렘블레이, 줄리아 로버츠, 오웬 윌슨, 이자벨라 비도빅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
유전,2018.6.7,"1,564,910,938",0.1%,"177,647",422,"9,327",미국,미국,(주)팝엔터테인먼트, 줄리아 하트,,,,,,, 구구 바샤-로, 데이빗 스트라탄, 로레인 투세인트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
